date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Result(home_team),,home advantage,,home-score(skaliert),away_score(skaliert)
10/03/2000,Qatar,Sudan,3,0,Friendly,Doha,Qatar,FALSE,1,,1,,0.096774194,0
11/03/2000,Aruba,Puerto Rico,4,2,FIFA World Cup qualification,Oranjestad,Aruba,FALSE,1,,1,,0.129032258,0.095238095
11/03/2000,Haiti,Dominica,4,0,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE,1,,1,,0.129032258,0
11/03/2000,Jordan,Bosnia and Herzegovina,0,0,Friendly,Zarqa,Jordan,FALSE,0,,1,,0,0
12/03/2000,United States,Tunisia,1,1,Friendly,Birmingham,United States,FALSE,0,,1,,0.032258065,0.047619048
12/03/2000,Zambia,Malawi,1,1,Friendly,Kitwe,Zambia,FALSE,0,,1,,0.032258065,0.047619048
13/03/2000,Jordan,Syria,0,0,Friendly,Amman,Jordan,FALSE,0,,1,,0,0
13/03/2000,Zambia,Malawi,0,1,Friendly,Lusaka,Zambia,FALSE,-1,,1,,0,0.047619048
15/03/2000,Japan,China PR,0,0,Friendly,Kobe,Japan,FALSE,0,,1,,0,0
15/03/2000,Jordan,Bosnia and Herzegovina,1,2,Friendly,Zarqa,Jordan,FALSE,-1,,1,,0.032258065,0.095238095
16/03/2000,Venezuela,Bolivia,0,0,Friendly,Maracaibo,Venezuela,FALSE,0,,1,,0,0
17/03/2000,Jordan,Syria,0,0,Friendly,Amman,Jordan,FALSE,0,,1,,0,0
18/03/2000,Curaçao,Trinidad and Tobago,1,1,FIFA World Cup qualification,Willemstad,Curaçao,TRUE,0,,1,,0.032258065,0.047619048
18/03/2000,Grenada,Barbados,2,3,FIFA World Cup qualification,St. George's,Grenada,FALSE,-1,,1,,0.064516129,0.142857143
18/03/2000,Puerto Rico,Aruba,2,2,FIFA World Cup qualification,San Juan,Puerto Rico,FALSE,0,,1,,0.064516129,0.095238095
18/03/2000,Saint Kitts and Nevis,Turks and Caicos Islands,8,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE,1,,1,,0.258064516,0
19/03/2000,Bahamas,Anguilla,2,1,FIFA World Cup qualification,Nassau,Bahamas,FALSE,1,,1,,0.064516129,0.047619048
19/03/2000,Belize,Guatemala,1,2,FIFA World Cup qualification,San Pedro Sula,Honduras,TRUE,-1,,0,,0.032258065,0.095238095
19/03/2000,Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,Hamilton,Bermuda,FALSE,1,,1,,0.290322581,0
19/03/2000,Botswana,Eswatini,3,0,Friendly,Gaborone,Botswana,FALSE,1,,1,,0.096774194,0
19/03/2000,Cayman Islands,Cuba,0,0,FIFA World Cup qualification,George Town,Cayman Islands,FALSE,0,,1,,0,0
